title,url,year
Age of Empires III: Definitive Edition,https://www.mobygames.com/game/151534/age-of-empires-iii-definitive-edition/,2020
Crown Trick,https://www.mobygames.com/game/151422/crown-trick/,2020
I Am Dead,https://www.mobygames.com/game/151313/i-am-dead/,2020
The Walking Dead: Saints & Sinners,https://www.mobygames.com/game/141163/the-walking-dead-saints-sinners/,2020
Panzer Paladin,https://www.mobygames.com/game/148414/panzer-paladin/,2020
Ooblets,https://www.mobygames.com/game/148201/ooblets/,2020
Kingdom Hearts: Melody of Memory,https://www.mobygames.com/game/153512/kingdom-hearts-melody-of-memory/,2020
Re:Turn: One Way Trip,https://www.mobygames.com/game/151506/return-one-way-trip/,2020
Danganronpa 2: Goodbye Despair - Anniversary Editi...,https://www.mobygames.com/game/166727/danganronpa-2-goodbye-despair-anniversary-edition/,2020
Hotshot Racing,https://www.mobygames.com/game/150144/hotshot-racing/,2020
Saints Row: The Third - Remastered,https://www.mobygames.com/game/145841/saints-row-the-third-remastered/,2020
Trials of Mana,https://www.mobygames.com/game/128146/trials-of-mana/,2020
Partisans 1941,https://www.mobygames.com/game/151097/partisans-1941/,2020
Chroma Quaternion,https://www.mobygames.com/game/164810/chroma-quaternion/,2020
Puddle Knights,https://www.mobygames.com/game/144908/puddle-knights/,2020
The Angry Video Game Nerd I & II Deluxe,https://www.mobygames.com/game/152337/the-angry-video-game-nerd-i-ii-deluxe/,2020
Super Mega Baseball 3,https://www.mobygames.com/game/145378/super-mega-baseball-3/,2020
Halo 4,https://www.mobygames.com/game/153836/halo-4/,2020
Paper Beast,https://www.mobygames.com/game/143711/paper-beast/,2020
Knock on the Coffin Lid,https://www.mobygames.com/game/230252/knock-on-the-coffin-lid/,2020
Observer: System Redux,https://www.mobygames.com/game/153168/observer-system-redux/,2020
Borderlands 3: Ultimate Edition,https://www.mobygames.com/game/159075/borderlands-3-ultimate-edition/,2020
DARQ: Complete Edition,https://www.mobygames.com/game/155859/darq-complete-edition/,2020
Moving Out,https://www.mobygames.com/game/143757/moving-out/,2020
Shiren the Wanderer: The Tower of Fortune and the ...,https://www.mobygames.com/game/154649/shiren-the-wanderer-the-tower-of-fortune-and-the-dice-of-fate/,2020
Helheim Hassle,https://www.mobygames.com/game/149304/helheim-hassle/,2020
Pathfinder: Kingmaker - Definitive Edition,https://www.mobygames.com/game/149466/pathfinder-kingmaker-definitive-edition/,2020
Iron Harvest,https://www.mobygames.com/game/150054/iron-harvest/,2020
WRC 9,https://www.mobygames.com/game/150269/wrc-9/,2020
PixelJunk Eden 2,https://www.mobygames.com/game/155081/pixeljunk-eden-2/,2020
Earth Defense Force: World Brothers,https://www.mobygames.com/game/165503/earth-defense-force-world-brothers/,2020
Radical Rabbit Stew,https://www.mobygames.com/game/147830/radical-rabbit-stew/,2020
Hatsune Miku: Logic Paint,https://www.mobygames.com/game/160843/hatsune-miku-logic-paint/,2020
Trackmania,https://www.mobygames.com/game/147673/trackmania/,2020
The Last Campfire,https://www.mobygames.com/game/149763/the-last-campfire/,2020
Solasta: Crown of the Magister,https://www.mobygames.com/game/151867/solasta-crown-of-the-magister/,2020
Cake Bash,https://www.mobygames.com/game/151100/cake-bash/,2020
Hardspace: Shipbreaker,https://www.mobygames.com/game/146886/hardspace-shipbreaker/,2020
MotoGP 20,https://www.mobygames.com/game/144504/motogp-20/,2020
Root Film,https://www.mobygames.com/game/149946/root-film/,2020
Unreal Life,https://www.mobygames.com/game/154119/unreal-life/,2020
PGA Tour 2K21,https://www.mobygames.com/game/149546/pga-tour-2k21/,2020
Danganronpa: Trigger Happy Havoc - Anniversary Edi...,https://www.mobygames.com/game/177457/danganronpa-trigger-happy-havoc-anniversary-edition/,2020
One Step from Eden,https://www.mobygames.com/game/143690/one-step-from-eden/,2020
Grounded,https://www.mobygames.com/game/148628/grounded/,2020
Othercide,https://www.mobygames.com/game/148616/othercide/,2020
Samurai Shodown NeoGeo Collection,https://www.mobygames.com/game/146355/samurai-shodown-neogeo-collection/,2020
Death Come True,https://www.mobygames.com/game/147305/death-come-true/,2020
Welcome to Elk,https://www.mobygames.com/game/150639/welcome-to-elk/,2020
Little Witch Nobeta,https://www.mobygames.com/game/147206/little-witch-nobeta/,2020
SpongeBob SquarePants: Battle for Bikini Bottom - ...,https://www.mobygames.com/game/147026/spongebob-squarepants-battle-for-bikini-bottom-rehydrated/,2020
Xuan Yuan 7,https://www.mobygames.com/game/152156/xuan-yuan-7/,2020
Fuser,https://www.mobygames.com/game/153182/fuser/,2020
Iron Harvest: Deluxe Edition,https://www.mobygames.com/game/177652/iron-harvest-deluxe-edition/,2020
Submerged: Hidden Depths,https://www.mobygames.com/game/155069/submerged-hidden-depths/,2020
Lightmatter,https://www.mobygames.com/game/140565/lightmatter/,2020
Mary Skelter: Finale,https://www.mobygames.com/game/173111/mary-skelter-finale/,2020
The Room VR: A Dark Matter,https://www.mobygames.com/game/143069/the-room-vr-a-dark-matter/,2020
Temtem,https://www.mobygames.com/game/141094/temtem/,2020
Nexomon: Extinction,https://www.mobygames.com/game/149863/nexomon-extinction/,2020
Warborn,https://www.mobygames.com/game/146706/warborn/,2020
Fall Guys: Ultimate Knockout,https://www.mobygames.com/game/148912/fall-guys-ultimate-knockout/,2020
Carrion,https://www.mobygames.com/game/148472/carrion/,2020
Project Wingman,https://www.mobygames.com/game/154964/project-wingman/,2020
Pokémon Mystery Dungeon: Rescue Team DX,https://www.mobygames.com/game/141574/pokemon-mystery-dungeon-rescue-team-dx/,2020
Halo 2: Anniversary,https://www.mobygames.com/game/145475/halo-2-anniversary/,2020
Curse of the Dead Gods,https://www.mobygames.com/game/143164/curse-of-the-dead-gods/,2020
Super Crush KO,https://www.mobygames.com/game/138425/super-crush-ko/,2020
The Lullaby of Life,https://www.mobygames.com/game/148874/the-lullaby-of-life/,2020
A Fold Apart,https://www.mobygames.com/game/144381/a-fold-apart/,2020
Dezatopia,https://www.mobygames.com/game/143567/dezatopia/,2020
Just Dance 2021,https://www.mobygames.com/game/153347/just-dance-2021/,2020
Mario Kart Live: Home Circuit,https://www.mobygames.com/game/150899/mario-kart-live-home-circuit/,2020
Need for Speed: Hot Pursuit - Remastered,https://www.mobygames.com/game/152628/need-for-speed-hot-pursuit-remastered/,2020
Mortal Shell,https://www.mobygames.com/game/149459/mortal-shell/,2020
Call of Duty: Modern Warfare 2 - Campaign Remaster...,https://www.mobygames.com/game/144005/call-of-duty-modern-warfare-2-campaign-remastered/,2020
Spellbreak,https://www.mobygames.com/game/150123/spellbreak/,2020
Through the Darkest of Times,https://www.mobygames.com/game/141651/through-the-darkest-of-times/,2020
Brigandine: The Legend of Runersia,https://www.mobygames.com/game/147370/brigandine-the-legend-of-runersia/,2020
El Hijo: A Wild West Tale,https://www.mobygames.com/game/155060/el-hijo-a-wild-west-tale/,2020
Murder by Numbers,https://www.mobygames.com/game/142637/murder-by-numbers/,2020
Rocket Arena,https://www.mobygames.com/game/148093/rocket-arena/,2020
XCOM: Chimera Squad,https://www.mobygames.com/game/144869/xcom-chimera-squad/,2020
Wildfire,https://www.mobygames.com/game/145921/wildfire/,2020
When the Past Was Around,https://www.mobygames.com/game/150690/when-the-past-was-around/,2020
Lovingly Evil,https://www.mobygames.com/game/166725/lovingly-evil/,2020
Mad Rat Dead,https://www.mobygames.com/game/152198/mad-rat-dead/,2020
A Total War Saga: Troy,https://www.mobygames.com/game/149284/a-total-war-saga-troy/,2020
Double Dragon & Kunio-kun: Retro Brawler Bundle,https://www.mobygames.com/game/142088/double-dragon-kunio-kun-retro-brawler-bundle/,2020
Anno 1701: History Edition,https://www.mobygames.com/game/147937/anno-1701-history-edition/,2020
Paper Ghost Stories: 7PM,https://www.mobygames.com/game/194705/paper-ghost-stories-7pm/,2020
Bartlow's Dread Machine,https://www.mobygames.com/game/151157/bartlows-dread-machine/,2020
In Other Waters,https://www.mobygames.com/game/143975/in-other-waters/,2020
Banners of Ruin,https://www.mobygames.com/game/148728/banners-of-ruin/,2020
Neversong,https://www.mobygames.com/game/145423/neversong/,2020
Super Mario Bros. 35,https://www.mobygames.com/game/150229/super-mario-bros-35/,2020
void tRrLM(); //Void Terrarium,https://www.mobygames.com/game/147987/void-trrlm-void-terrarium/,2020
Zombie Rollerz: Pinball Heroes,https://www.mobygames.com/game/156006/zombie-rollerz-pinball-heroes/,2020
Marvel Iron Man VR,https://www.mobygames.com/game/147710/marvel-iron-man-vr/,2020
Werewolf: The Apocalypse - Heart of the Forest,https://www.mobygames.com/game/151522/werewolf-the-apocalypse-heart-of-the-forest/,2020
Lost Words: Beyond the Page,https://www.mobygames.com/game/144061/lost-words-beyond-the-page/,2020
Tell Me Why,https://www.mobygames.com/game/149656/tell-me-why/,2020
Genshin Impact,https://www.mobygames.com/game/150976/genshin-impact/,2020
Touhou Spell Bubble,https://www.mobygames.com/game/142122/touhou-spell-bubble/,2020
The Procession to Calvary,https://www.mobygames.com/game/144358/the-procession-to-calvary/,2020
Lithium City,https://www.mobygames.com/game/166702/lithium-city/,2020
La-Mulana 1 & 2 (Hidden Treasures Edition),https://www.mobygames.com/game/145078/la-mulana-1-2-hidden-treasures-edition/,2020
Record of Lodoss War: Deedlit in Wonder Labyrinth,https://www.mobygames.com/game/143369/record-of-lodoss-war-deedlit-in-wonder-labyrinth/,2020
Star Wars: Squadrons,https://www.mobygames.com/game/151117/star-wars-squadrons/,2020
Robotics;Notes: Elite & DaSH - Double Pack,https://www.mobygames.com/game/151673/roboticsnotes-elite-dash-double-pack/,2020
The Dark Pictures Anthology: Little Hope,https://www.mobygames.com/game/152257/the-dark-pictures-anthology-little-hope/,2020
#Funtime,https://www.mobygames.com/game/147828/funtime/,2020
Tanuki Justice,https://www.mobygames.com/game/155078/tanuki-justice/,2020
Bugsnax,https://www.mobygames.com/game/153454/bugsnax/,2020
Game & Watch Color Screen: Super Mario Bros.,https://www.mobygames.com/game/150231/game-watch-color-screen-super-mario-bros/,2020
Outcasters,https://www.mobygames.com/game/155045/outcasters/,2020
Call of Duty: Black Ops - Cold War,https://www.mobygames.com/game/153502/call-of-duty-black-ops-cold-war/,2020
Phasmophobia,https://www.mobygames.com/game/151580/phasmophobia/,2020
Train Sim World 2,https://www.mobygames.com/game/149511/train-sim-world-2/,2020
Bloodroots,https://www.mobygames.com/game/143022/bloodroots/,2020
NBA 2K21,https://www.mobygames.com/game/153388/nba-2k21/,2020
Phogs!,https://www.mobygames.com/game/154980/phogs/,2020
Post Void,https://www.mobygames.com/game/149036/post-void/,2020
Kingdoms of Amalur: Re-Reckoning,https://www.mobygames.com/game/150309/kingdoms-of-amalur-re-reckoning/,2020
Kemono Heroes,https://www.mobygames.com/game/142995/kemono-heroes/,2020
Art of Rally,https://www.mobygames.com/game/150686/art-of-rally/,2020
Super XYX,https://www.mobygames.com/game/149223/super-xyx/,2020
Someday You'll Return,https://www.mobygames.com/game/143603/someday-youll-return/,2020
Kunai,https://www.mobygames.com/game/141119/kunai/,2020
Maneater,https://www.mobygames.com/game/145822/maneater/,2020
No Straight Roads,https://www.mobygames.com/game/149701/no-straight-roads/,2020
Coffee Talk,https://www.mobygames.com/game/138352/coffee-talk/,2020
Shmup Collection,https://www.mobygames.com/game/145388/shmup-collection/,2020
Savage Halloween,https://www.mobygames.com/game/162612/savage-halloween/,2020
Jurassic World: Evolution - Complete Edition,https://www.mobygames.com/game/152636/jurassic-world-evolution-complete-edition/,2020
Project Cars 3,https://www.mobygames.com/game/149693/project-cars-3/,2020
Crypt Stalker,https://www.mobygames.com/game/152475/crypt-stalker/,2020
Kowloon High-School Chronicle,https://www.mobygames.com/game/146149/kowloon-high-school-chronicle/,2020
Call of the Sea,https://www.mobygames.com/game/154162/call-of-the-sea/,2020
Legend of Keepers,https://www.mobygames.com/game/143669/legend-of-keepers/,2020
Bridge Constructor: The Walking Dead,https://www.mobygames.com/game/153691/bridge-constructor-the-walking-dead/,2020
Valorant,https://www.mobygames.com/game/146290/valorant/,2020
Anno: History Collection,https://www.mobygames.com/game/147931/anno-history-collection/,2020
Shut In,https://www.mobygames.com/game/167540/shut-in/,2020
Cyber Hook,https://www.mobygames.com/game/150832/cyber-hook/,2020
The Longing,https://www.mobygames.com/game/142640/the-longing/,2020
Orcs Must Die! 3,https://www.mobygames.com/game/148120/orcs-must-die-3/,2020
Sakura Wars,https://www.mobygames.com/game/145077/sakura-wars/,2020
Zombie Army 4: Dead War,https://www.mobygames.com/game/141929/zombie-army-4-dead-war/,2020
Collection of SaGa: Final Fantasy Legend,https://www.mobygames.com/game/155764/collection-of-saga-final-fantasy-legend/,2020
Destroy All Humans!,https://www.mobygames.com/game/146929/destroy-all-humans/,2020
Star Renegades,https://www.mobygames.com/game/150315/star-renegades/,2020
Haven,https://www.mobygames.com/game/154979/haven/,2020
Halo: Combat Evolved - Anniversary,https://www.mobygames.com/game/143176/halo-combat-evolved-anniversary/,2020
Shady Part of Me,https://www.mobygames.com/game/155521/shady-part-of-me/,2020
Beyond a Steel Sky,https://www.mobygames.com/game/147438/beyond-a-steel-sky/,2020
Jet Lancer,https://www.mobygames.com/game/144561/jet-lancer/,2020
