platform,moby_id,director,director_ID,producer,producer_ID,developer,developer_ID
iPhone,233642,Alex Flynn,479497,Tomasz Wisniowski,1279028,Paweł Kwietniak,1108724
Windows,233642,Alex Flynn,479497,Tomasz Wisniowski,1279028,Paweł Kwietniak,1108724
Windows,193911,,,Dave Oshry,577863,,
Windows,149044,Pascal Cammisotto,179129,,,,
Windows,206980,Lucy Blundell,1055035,,,,
Quest,232545,Ryan Payton,279868,Derek Bowman,134218,André Roux,249098
Windows,230691,James Turner,573686,Kitty Crawford,882179,,
Windows,227846,Shuuichi Kawata,196633,Yoshiteru Yamamoto,139345,Maurice Ossenbrink,619840
Windows,146928,Lee Mather,15972,Ian Flatt,230657,Clive Moody,218666
Windows,205667,,,Stanislas Jun Peyrat,1306977,,
Windows Apps,229716,Melinda Rose,803129,Tim C. Fritz,40742,Noah P. Musler,66452
PlayStation 5,205363,Yuuhi Mimura,1157271,Takuro Yamashita,81085,,
Nintendo Switch,205363,Yuuhi Mimura,1157271,Takuro Yamashita,81085,,
Windows,242147,Yasuyuki Tsujino,182047,Shuhei Matsumoto,853880,Maurice Ossenbrink,619840
Nintendo Switch,208366,Fumihiro Kitahara,902254,Tatsuya Matsubara,636208,,
PlayStation 5,243164,Yuji Nakao,470144,Takayuki Hama,847684,Yasuyuki Kitabata,1270215
Windows,174628,Wren Brier,1136429,Kip Bunyea,63611,Sanatana Mishra,366508
PlayStation 5,153496,Brian Allgeier,133498,Cory Hoover,569465,Sine Gov,461335
Windows,231441,Cris Nicol,1347489,Ricky Centofanti,1754514,Tejesh Munusamy,392386
Xbox One,166087,Robert Towell,1204538,,,,
PlayStation 5,166087,Valerie Arem,44885,Kana Hotta,837204,Natsumi Kawasaki,1178717
PlayStation 4,151114,Amber Long,19409,Nick Livingston,277040,Frédéric Mailhot,779326
Windows,246070,Takehiro Kawachi,287192,Naoki Horii,204619,Anibal Vera,690502
Windows,176465,,,,,Fred Wood,610636
Windows,158495,Fumihiko Yasuda,427858,Fumihiko Yasuda,427858,,
Windows,212996,Ein Lee,918471,David Tang,1669587,,
Windows,158020,,,,,Igor Aleksandrowicz,769009
Windows,168005,Frits Olsen,1037389,,,Graham Goring,167800
Windows,202495,Lennart Sas,942,Djurre van Dijk,65593,Joren Bolhuis,1062858
Nintendo Switch,193237,Yuki Suda,327291,Yuji Nakao,470144,Takao Yamane,314311
Windows,239544,Jörg Friedrich,233775,Omar Ahmed,1856579,,
Windows,179715,Étienne Jean,650301,Simon Lachance,918141,Jules Hirtzig,1013842
Xbox Series,207710,Masaru Yamamura,494863,Hiroyuki Goto,567079,Arjun Agnihotri,408231
Windows,171127,Vlad Konstantinov,743341,Oleg Shpilchevsky,244162,Andrey Chemlekchiev,942797
PlayStation 5,189069,Tsuyoshi Arayashiki,61746,Takeshi Minagawa,87799,Michael Rajna,189006
Windows,189069,Tsuyoshi Arayashiki,61746,Takeshi Minagawa,87799,Michael Rajna,189006
Windows,242437,Annika Maar,966880,,,Julia Kenny,1240003
Windows,202230,Timothy Dadone Nasello,1670768,,,,
Windows Apps,221443,Laure De Mey,1029302,,,,
PlayStation 4,161834,Morimasa Sato,818572,Silvia Lin,553098,Maurice Ossenbrink,619840
Windows,161834,Morimasa Sato,818572,Silvia Lin,553098,Maurice Ossenbrink,619840
Nintendo Switch,178684,Kazumasa Iwao,410193,Shigeru Ohmori,152378,Toru Nagihashi,417806
Windows,231342,,,Andy Andi Han,1221218,Joseph Brown,1221227
Windows,167678,Lee Mather,15972,Ian Flatt,230657,Clive Moody,218666
Windows,223633,Adam Vian,392116,,,Charlotte Nangle,970672
Windows,235851,Davey Wreden,558046,Patrick McDermott,1780232,Lisa Aquilino,1027801
Xbox Series,232366,Katsuyuki Shigihara,501090,Takashi Iizuka,43208,Katsunori Uchibori,413235
Windows,232366,Katsuyuki Shigihara,501090,Takashi Iizuka,43208,Katsunori Uchibori,413235
Windows,172396,Daniel Robinson,973408,Jack Bennett,973410,Magdalena Buss,1046332
Windows,178788,Michaël Lelièvre,612811,,,,
Windows,152571,Bálint Bánk Varga,975885,Tamás Bakó,162905,,
Windows,153160,Mark Nash,344906,Dan Adams,1128486,Michael Voeller,436995
Windows,193717,Yuri Stern,1284636,Erika Mariko Olsen,791507,Mai Kawaguchi,164810
Windows,157560,Uwe Wütherich,266291,Caspar Michel,345877,Zbigniew Wojtania,267084
Windows,218151,Tyshan Carey,60305,Morgan Little,1576579,Adrian Czerwiński,364084
PlayStation 5,237734,Yasuaki Uehara,499662,Koichi Nobuta,720455,Takashi Atsu,44506
PlayStation 5,208808,Ji-won Choi,1477668,Jason Park,1477669,Cheol-hun Yun,1478112
PlayStation 5,179410,Kévin Roger,930719,Pierre Tarno,930699,,
PlayStation 5,153390,Hideaki Itsuno,61443,Jun Takeuchi,47331,Maurice Ossenbrink,619840
PlayStation 5,210895,Radosław Ratusznik,464459,Tadeusz Zuber,7038,Kathleen Nicholls,63617
PlayStation 5,222705,Hyung-tae Kim,329269,Hyung-tae Kim,329269,NaKyung Yoo,1677368
Windows,180427,Masayuki Aoyagi,1030197,Ryu Kawachi,1004337,,
PlayStation 4,182643,Richard Lico,62890,,,,
Windows,175288,Takahiro Noda,71639,Akio Shiraishi,954806,Tomasz Rozejowski,954884
