moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
164405,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
164405,Xbox One+,Commercial,,,,,Download,Xbox One/Series Wireless Controller
164405,Xbox Series+,Commercial,,,,,Blu-Ray Disc; Download,Xbox One/Series Wireless Controller
187183,Nintendo Switch+,Commercial,,,,,Download; Game Card,
160124,Nintendo Switch+,Commercial,,,,,Download,
160124,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,
153150,PlayStation 4+,Commercial,,,,,Blu-Ray Disc; Download,DualShock 4
153150,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
153150,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,,Xbox One/Series Wireless Controller
180080,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
157629,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
157629,Windows+,Commercial,Windows 10,,8 GB,,Download,
241974,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,Xbox One/Series Wireless Controller
143125,Android+,Freeware / Free-to-play / Public Domain,Android 5.1,,,,Download,
143125,Nintendo Switch+,Commercial,,,,,Download; Game Card,
143125,iPad+,Freeware / Free-to-play / Public Domain,iOS 11.0,,,,Download,
143125,iPhone+,Freeware / Free-to-play / Public Domain,iOS 11.0,,,,Download,
228659,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
205088,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,
142906,Linux+,Commercial,,x64 (64-bit),4 GB,,Download,
142906,Macintosh+,Commercial,Mac OS X 10.9 (Mavericks),x64 (64-bit),4 GB,,DVD-ROM,DualShock 4; Xbox One/Series Wireless Controller
142906,Stadia+,Commercial,,,,,,
142906,Windows+,Commercial,Windows 7,x64 (64-bit),4 GB,,Download; DVD-ROM,DualShock 4; Xbox One/Series Wireless Controller
153499,PlayStation 5+,Freeware / Free-to-play / Public Domain,,,,,Download,DualSense Controller
174498,Nintendo Switch+,Commercial,,,,,Download; Game Card,
163363,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
149534,Linux+,Commercial,,x64 (64-bit),4 GB,,Download,
149534,Macintosh+,Commercial,macOS 10.14 (Mojave),x64 (64-bit),12 GB,,Download,
149534,Windows+,Commercial,Windows 8.1,x64 (64-bit),6 GB,,Download; DVD-ROM,
230414,Windows+,Commercial,Windows 10,x64 (64-bit),4 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
243163,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
149441,Nintendo Switch+,Commercial,,,,,Download,
149441,Windows+,Commercial,Windows 7,,8 GB,,Download,
231129,Nintendo Switch+,Commercial,,,,,Download; Game Card,
238308,Linux+,Commercial,,x64 (64-bit),6 GB,,Download,
238308,Macintosh+,Commercial,macOS 11.0 (Big Sur),x64 (64-bit),8 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
238308,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
220011,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,
220011,Windows+,Commercial,Windows 10,x64 (64-bit),16 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
