moby_id,store,platform,format,used_price_url,new_price_url,updated_date
195765,eBay,Nintendo Switch,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Nintendo Switch&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Nintendo Switch&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
195765,Amazon,PlayStation 4,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes PlayStation 4,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes PlayStation 4,
195765,eBay,PlayStation 4,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes PlayStation 4&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes PlayStation 4&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
195765,Amazon,Windows,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Windows,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Windows,
195765,eBay,Windows,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Windows&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Windows&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
195765,Steam,Windows,Digital,https://store.steampowered.com/app/1229240/,https://store.steampowered.com/app/1229240/,11/4/2025
195765,GOG.com,Windows,Digital,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fchained_echoes%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=2067731250,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fchained_echoes%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=2067731250,11/5/2025
195765,Amazon,Xbox One,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Xbox One,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Xbox One,
195765,eBay,Xbox One,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Xbox One&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Xbox One&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
195765,Amazon,Xbox Series,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Xbox Series,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Chained Echoes Xbox Series,
195765,eBay,Xbox Series,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Xbox Series&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Chained Echoes Xbox Series&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
195765,GOG.com,Macintosh,Digital,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fchained_echoes%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=2067731250,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fchained_echoes%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=2067731250,11/5/2025
195765,Steam,Macintosh,Digital,https://store.steampowered.com/app/1229240/,https://store.steampowered.com/app/1229240/,11/4/2025
195765,Steam,Linux,Digital,https://store.steampowered.com/app/1229240/,https://store.steampowered.com/app/1229240/,11/4/2025
224693,Amazon,Nintendo Switch,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Paper Mario: The Thousand-Year Door Nintendo Switch,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Paper Mario: The Thousand-Year Door Nintendo Switch,
224693,eBay,Nintendo Switch,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Paper Mario: The Thousand-Year Door Nintendo Switch&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Paper Mario: The Thousand-Year Door Nintendo Switch&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
210733,Amazon,PlayStation 5,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Marvel Spider-Man 2 PlayStation 5,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Marvel Spider-Man 2 PlayStation 5,
